pertSize,reactionTime,initialResponse,subID,blockNo,speed,leftResponse,rightResponse,noResponse
0,3.42800419390551,1,3,1,0,0,1,0
-100,6.31800616538385,1,3,1,0,0,1,0
50,4.72200671077007,-1,3,1,0,1,0,0
-300,2.34100352728274,1,3,1,0,0,1,0
0,2.16500811684091,-1,3,1,0,1,0,0
-25,7.16300067055272,-1,3,1,0,1,0,0
300,2.11900354039972,-1,3,1,0,1,0,0
150,1.67999982011679,-1,3,1,0,1,0,0
-200,1.63600432276871,1,3,1,0,0,1,0
25,4.44100808072108,-1,3,1,0,1,0,0
100,2.17200695121574,-1,3,1,0,1,0,0
150,3.58000747275219,-1,3,1,0,1,0,0
-200,7.11200335657486,1,3,1,0,0,1,0
0,6.62800156557932,-1,3,1,0,1,0,0
100,1.25800779915153,-1,3,1,0,1,0,0
-50,6.53899975860259,1,3,1,0,0,1,0
300,1.57400008320838,-1,3,1,0,1,0,0
0,3.56100613319722,-1,3,1,0,1,0,0
25,6.85000278436928,-1,3,1,0,1,0,0
-300,1.69600602352875,1,3,1,0,0,1,0
-150,1.72199967742199,1,3,1,0,0,1,0
200,1.41500531673228,-1,3,1,0,1,0,0
50,2.33800441849598,-1,3,1,0,1,0,0
-25,6.40600023853767,1,3,1,0,0,1,0
-100,8.1200011602632,-1,3,1,0,1,0,0
-150,3.79300833011075,-1,3,1,0,1,0,0
25,6.07399931144755,-1,3,3,0,1,0,0
-50,4.1509910277091,-1,3,3,0,1,0,0
-200,3.18099552547937,1,3,3,0,0,1,0
150,3.71499170779862,-1,3,3,0,1,0,0
300,1.31999683976028,-1,3,3,0,1,0,0
-25,5.07499941110291,-1,3,3,0,1,0,0
0,4.3289913235858,1,3,3,0,0,1,0
-300,0.531995173812902,1,3,3,0,0,1,0
50,4.00900039898988,-1,3,3,0,1,0,0
-100,1.57599493586895,1,3,3,0,0,1,0
0,2.81999508249282,1,3,3,0,0,1,0
200,2.41199806797522,-1,3,3,0,1,0,0
-150,1.91300048791891,1,3,3,0,0,1,0
-100,2.09499580967531,1,3,3,0,0,1,0
-25,4.02199988627399,1,3,3,0,0,1,0
50,4.88199256050575,1,3,3,0,0,1,0
200,1.38599799239455,-1,3,3,0,1,0,0
-150,3.08799651181471,1,3,3,0,0,1,0
-300,1.73899700390757,1,3,3,0,0,1,0
25,5.53999493538868,1,3,3,0,0,1,0
0,3.23199240434042,-1,3,3,0,1,0,0
300,2.34899148857221,-1,3,3,0,1,0,0
-50,3.80899385738303,-1,3,3,0,1,0,0
100,3.36499461018684,-1,3,3,0,1,0,0
0,2.40699740505079,1,3,3,0,0,1,0
-200,2.18399254250107,1,3,3,0,0,1,0
150,3.78099231982196,-1,3,3,0,1,0,0
100,2.26999847912521,-1,3,3,0,1,0,0
200,0.985999602911761,-1,3,3,0,1,0,0
0,1.88700219595194,-1,3,3,0,1,0,0
-100,0.987995537994721,1,3,3,0,0,1,0
50,3.48999723684392,-1,3,3,0,1,0,0
-300,0.593993060349021,1,3,3,0,0,1,0
0,1.63599743616214,1,3,3,0,0,1,0
-25,2.77099813079258,-1,3,3,0,1,0,0
300,1.18499296760274,-1,3,3,0,1,0,0
150,1.12999404835136,-1,3,3,0,1,0,0
-200,6.03599705278612,1,3,3,0,0,1,0
-50,2.34100214480713,1,3,3,0,0,1,0
25,3.80699966000975,-1,3,3,0,1,0,0
100,5.46499338471767,-1,3,3,0,1,0,0
150,1.58400132679526,-1,3,3,0,1,0,0
-200,0.309993566508638,1,3,3,0,0,1,0
0,2.44000051068724,-1,3,3,0,1,0,0
100,2.93499878764123,-1,3,3,0,1,0,0
-50,6.84299699103576,-1,3,3,0,1,0,0
300,2.17699572347919,-1,3,3,0,1,0,0
0,2.71299845528119,-1,3,3,0,1,0,0
25,2.30999403703026,-1,3,3,0,1,0,0
-300,0.459001292343601,1,3,3,0,0,1,0
-150,0.973993722676823,1,3,3,0,0,1,0
200,0.436998588316783,1,3,3,0,0,1,0
50,2.32199346017296,-1,3,3,0,1,0,0
-25,7.54899782132998,1,3,3,0,0,1,0
-100,2.19700024127815,-1,3,3,0,1,0,0
-150,1.82799783074734,1,3,3,0,0,1,0
25,0.908004375218297,-1,3,5,0,1,0,0
-50,0.756004341717926,1,3,5,0,0,1,0
-200,0.514008711215865,1,3,5,0,0,1,0
150,0.88100055288669,-1,3,5,0,1,0,0
300,0.792000363820989,-1,3,5,0,1,0,0
-25,1.64900577258959,-1,3,5,0,1,0,0
0,5.42300891506602,-1,3,5,0,1,0,0
-300,0.363000692959758,1,3,5,0,0,1,0
50,3.97200264620187,1,3,5,0,0,1,0
-100,2.72000456439855,1,3,5,0,0,1,0
0,2.54900493597961,1,3,5,0,0,1,0
200,1.61600160252419,-1,3,5,0,1,0,0
